date,percent_infected
2021-02-01,6.68
2021-02-02,6.71
2021-02-03,6.74
2021-02-04,6.77
2021-02-05,6.8
2021-02-06,6.83
2021-02-07,6.86
2021-02-08,6.88
2021-02-09,6.91
2021-02-10,6.93
2021-02-11,6.96
2021-02-12,6.98
2021-02-13,7.0
2021-02-14,7.02
2021-02-15,7.04
2021-02-16,7.05
2021-02-17,7.07
2021-02-18,7.09
2021-02-19,7.1
2021-02-20,7.12
2021-02-21,7.13
2021-02-22,7.15
2021-02-23,7.16
2021-02-24,7.17
2021-02-25,7.2
2021-02-26,7.22
2021-02-27,7.24
2021-02-28,7.26
