date,percent_infected
2021-02-01,7.25
2021-02-02,7.29
2021-02-03,7.32
2021-02-04,7.36
2021-02-05,7.41
2021-02-06,7.46
2021-02-07,7.51
2021-02-08,7.56
2021-02-09,7.6
2021-02-10,7.63
2021-02-11,7.69
2021-02-12,7.73
2021-02-13,7.77
2021-02-14,7.82
2021-02-15,7.85
2021-02-16,7.88
2021-02-17,7.91
2021-02-18,7.95
2021-02-19,7.99
2021-02-20,8.03
2021-02-21,8.07
2021-02-22,8.1
2021-02-23,8.13
2021-02-24,8.16
2021-02-25,8.21
2021-02-26,8.25
2021-02-27,8.29
2021-02-28,8.33
