date,percent_infected
2021-02-01,7.89
2021-02-02,7.92
2021-02-03,7.95
2021-02-04,7.99
2021-02-05,8.03
2021-02-06,8.09
2021-02-07,8.13
2021-02-08,8.16
2021-02-09,8.2
2021-02-10,8.25
2021-02-11,8.29
2021-02-12,8.34
2021-02-13,8.38
2021-02-14,8.4
2021-02-15,8.42
2021-02-16,8.46
2021-02-17,8.51
2021-02-18,8.54
2021-02-19,8.58
2021-02-20,8.61
2021-02-21,8.63
2021-02-22,8.66
2021-02-23,8.7
2021-02-24,8.73
2021-02-25,8.77
2021-02-26,8.82
2021-02-27,8.86
2021-02-28,8.89
