date,percent_infected
2021-02-01,4.21
2021-02-02,4.23
2021-02-03,4.25
2021-02-04,4.27
2021-02-05,4.29
2021-02-06,4.31
2021-02-07,4.32
2021-02-08,4.32
2021-02-09,4.37
2021-02-10,4.38
2021-02-11,4.39
2021-02-12,4.41
2021-02-13,4.42
2021-02-14,4.43
2021-02-15,4.43
2021-02-16,4.43
2021-02-17,4.45
2021-02-18,4.47
2021-02-19,4.48
2021-02-20,4.5
2021-02-21,4.51
2021-02-22,4.51
2021-02-23,4.52
2021-02-24,4.53
2021-02-25,4.55
2021-02-26,4.56
2021-02-27,4.58
2021-02-28,4.59
